                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.4836,                 1.6004,                 1.6263,                0.42336,                0.52616,                0.43091,                0.24335,                 1.5916,                 1.6875,                 1.7562,              0.0011719,              0.0011719,              0.0011719
                     77,                 1.4722,                 1.5881,                 1.5973,                0.39959,                0.47938,                0.43369,                0.23615,                 1.6299,                 1.7366,                 1.8255,              0.0011653,              0.0011653,              0.0011653
                     78,                 1.4742,                 1.5658,                 1.6446,                0.41059,                0.58337,                0.44133,                0.25519,                 1.5501,                 1.5812,                 1.7361,              0.0011587,              0.0011587,              0.0011587
                     79,                 1.4053,                 1.5036,                  1.572,                0.38332,                0.60754,                0.47801,                0.26006,                 1.6928,                 1.5983,                 1.8558,              0.0011521,              0.0011521,              0.0011521
                     80,                 1.4217,                 1.5215,                 1.6056,                0.39652,                0.63215,                0.45646,                0.25662,                 1.6476,                 1.6472,                 1.8003,              0.0011455,              0.0011455,              0.0011455
                     81,                 1.4681,                 1.5738,                 1.6402,                0.46554,                0.53792,                0.43727,                0.25007,                 1.5191,                 1.5273,                 1.7408,              0.0011389,              0.0011389,              0.0011389
                     82,                 1.4427,                 1.5127,                   1.59,                0.43733,                0.56519,                 0.4528,                0.26533,                 1.5585,                 1.5744,                 1.7401,              0.0011323,              0.0011323,              0.0011323
                     83,                 1.4684,                 1.5605,                 1.6392,                0.38819,                0.69579,                0.45684,                0.25413,                 1.5389,                 1.5417,                 1.7139,              0.0011257,              0.0011257,              0.0011257
                     84,                 1.3979,                 1.5299,                 1.5852,                0.40436,                0.63695,                0.47567,                0.28094,                 1.4464,                 1.5717,                 1.6577,              0.0011191,              0.0011191,              0.0011191
                     85,                 1.4382,                 1.5507,                 1.5942,                0.34908,                0.62284,                  0.434,                 0.2396,                 1.5721,                 1.6872,                 1.7506,              0.0011125,              0.0011125,              0.0011125
                     86,                 1.4266,                 1.5166,                 1.5874,                0.40232,                0.65735,                0.48598,                0.27772,                 1.4538,                 1.5638,                 1.6539,              0.0011059,              0.0011059,              0.0011059
                     87,                 1.4353,                 1.5068,                 1.5789,                0.40313,                0.62691,                0.47012,                 0.2525,                 1.5921,                 1.6004,                 1.7792,              0.0010993,              0.0010993,              0.0010993
                     88,                 1.4276,                 1.5052,                 1.5856,                0.43058,                0.63736,                0.49822,                0.28738,                 1.5421,                 1.4553,                 1.7414,              0.0010927,              0.0010927,              0.0010927
                     89,                 1.4374,                 1.5219,                 1.6186,                0.46087,                0.58206,                0.49786,                0.27202,                  1.637,                  1.591,                 1.8118,              0.0010861,              0.0010861,              0.0010861
                     90,                 1.3881,                 1.4546,                 1.5562,                0.42249,                 0.6559,                0.50183,                0.29026,                 1.5574,                 1.6006,                  1.744,              0.0010795,              0.0010795,              0.0010795
                     91,                 1.4431,                 1.4962,                 1.5843,                0.44018,                0.57162,                0.46622,                0.27452,                 1.5124,                 1.6015,                 1.7245,              0.0010729,              0.0010729,              0.0010729
                     92,                 1.4367,                 1.4788,                 1.5602,                0.36371,                0.64169,                0.42141,                0.24316,                 1.4849,                 1.6444,                 1.6305,              0.0010663,              0.0010663,              0.0010663
                     93,                 1.4033,                 1.4548,                 1.5446,                0.42139,                0.68909,                0.46791,                0.25545,                 1.5375,                 1.5611,                 1.7029,              0.0010597,              0.0010597,              0.0010597
                     94,                 1.3893,                 1.4317,                 1.5386,                0.51041,                0.55986,                0.51268,                0.29551,                 1.4492,                 1.5117,                 1.6544,              0.0010531,              0.0010531,              0.0010531
                     95,                 1.3669,                 1.4592,                 1.5258,                 0.4141,                0.57422,                0.41343,                0.22257,                 1.6942,                 1.6267,                 1.7531,              0.0010465,              0.0010465,              0.0010465
                     96,                 1.3756,                 1.4157,                 1.5007,                0.43456,                0.59918,                0.48005,                0.28943,                 1.4977,                 1.5345,                 1.6855,              0.0010399,              0.0010399,              0.0010399
                     97,                 1.3931,                 1.4367,                 1.5682,                0.44163,                0.64146,                0.51383,                0.30285,                  1.471,                 1.4993,                 1.6725,              0.0010333,              0.0010333,              0.0010333
                     98,                 1.3347,                 1.3989,                 1.5191,                0.40558,                0.64803,                0.45117,                0.27474,                 1.4333,                 1.5162,                 1.6282,              0.0010267,              0.0010267,              0.0010267
                     99,                 1.3581,                 1.4434,                 1.5207,                0.42303,                0.62324,                0.48273,                0.29723,                 1.4985,                 1.5315,                 1.6787,              0.0010201,              0.0010201,              0.0010201
                    100,                 1.3156,                  1.396,                 1.4915,                0.50005,                0.67162,                0.58125,                0.36295,                  1.388,                 1.4161,                  1.603,              0.0010135,              0.0010135,              0.0010135
                    101,                 1.3347,                 1.3618,                 1.5037,                0.48638,                 0.6898,                0.55319,                0.34052,                 1.4241,                 1.4029,                 1.6312,              0.0010069,              0.0010069,              0.0010069
                    102,                 1.3268,                 1.3713,                 1.5007,                0.49812,                0.58027,                0.53876,                 0.3194,                 1.4732,                 1.4632,                 1.6631,              0.0010003,              0.0010003,              0.0010003
                    103,                 1.3634,                  1.407,                 1.5196,                0.47011,                0.67366,                0.52707,                0.31928,                 1.4319,                 1.4579,                 1.6034,             0.00099367,             0.00099367,             0.00099367
